C4MIMTFO_2B,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 3,"">C<"" => 1,""-F"" => 3,""-O- (non-ring)"" => 1,""-S- (non-ring)"" => 1,""=O (other than above)"" => 2]"
C8MIMTFO_2B,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 7,"">C<"" => 1,""-F"" => 3,""-O- (non-ring)"" => 1,""-S- (non-ring)"" => 1,""=O (other than above)"" => 2]"
C2MIMTF2N_2B,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 1,"">C<"" => 2,""-F"" => 6,"">N- (non-ring)"" => 1,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"
C4MIMTF2N_2B,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 3,"">C<"" => 2,""-F"" => 6,"">N- (non-ring)"" => 1,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"
C5MIMTF2N_2B,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 4,"">C<"" => 2,""-F"" => 6,"">N- (non-ring)"" => 1,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"
C6MIMTF2N_2B,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 5,"">C<"" => 2,""-F"" => 6,"">N- (non-ring)"" => 1,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"
C8MIMTF2N_2B,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 7,"">C<"" => 2,""-F"" => 6,"">N- (non-ring)"" => 1,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"

C2MIMSCN,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 1,""-S- (non-ring)"" => 1,""-CN"" => 1]"
C4MIMSCN,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 3,""-S- (non-ring)"" => 1,""-CN"" => 1]"
C6MIMSCN,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 5,""-S- (non-ring)"" => 1,""-CN"" => 1]"
C2MIMTFO,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 1,"">C<"" => 1,""-F"" => 3,""-O- (non-ring)"" => 1,""-S- (non-ring)"" => 1,""=O (other than above)"" => 2]"
C4MIMTFO,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 3,"">C<"" => 1,""-F"" => 3,""-O- (non-ring)"" => 1,""-S- (non-ring)"" => 1,""=O (other than above)"" => 2]"
C8MIMTFO,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 7,"">C<"" => 1,""-F"" => 3,""-O- (non-ring)"" => 1,""-S- (non-ring)"" => 1,""=O (other than above)"" => 2]"
C2MIMTF2N,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 1,"">C<"" => 2,""-F"" => 6,"">N- (non-ring)"" => 1,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"
C4MIMTF2N,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 3,"">C<"" => 2,""-F"" => 6,"">N- (non-ring)"" => 1,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"
C5MIMTF2N,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 4,"">C<"" => 2,""-F"" => 6,"">N- (non-ring)"" => 1,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"
C6MIMTF2N,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 5,"">C<"" => 2,""-F"" => 6,"">N- (non-ring)"" => 1,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"
C8MIMTF2N,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 7,"">C<"" => 2,""-F"" => 6,"">N- (non-ring)"" => 1,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"

ethanol_3B,"[""-CH3"" => 1,""-CH2-"" => 1, ""-OH (alcohol)"" => 1]"

water_duf,"[""H2O"" => 1]"
water_LJ,"[""H2O"" => 1]"

C2MIMTF2N_2BL,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 1,"">C<"" => 2,""-F"" => 6,"">N- (non-ring)"" => 1,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"
C4MIMTF2N_2BL,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 3,"">C<"" => 2,""-F"" => 6,"">N- (non-ring)"" => 1,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"
C5MIMTF2N_2BL,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 4,"">C<"" => 2,""-F"" => 6,"">N- (non-ring)"" => 1,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"
C6MIMTF2N_2BL,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 5,"">C<"" => 2,""-F"" => 6,"">N- (non-ring)"" => 1,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"
C2MIMTF2N_NAL,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 1,"">C<"" => 2,""-F"" => 6,"">N- (non-ring)"" => 1,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"
C4MIMTF2N_NAL,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 3,"">C<"" => 2,""-F"" => 6,"">N- (non-ring)"" => 1,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"
C5MIMTF2N_NAL,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 4,"">C<"" => 2,""-F"" => 6,"">N- (non-ring)"" => 1,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"
C6MIMTF2N_NAL,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 5,"">C<"" => 2,""-F"" => 6,"">N- (non-ring)"" => 1,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"


methane,"[""-CH3"" => 1]"


C2MIMTF2N_slattery,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 1,"">C<"" => 2,""-F"" => 6,"">N- (non-ring)"" => 1,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"
C4MIMTF2N_slattery,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 3,"">C<"" => 2,""-F"" => 6,"">N- (non-ring)"" => 1,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"
C5MIMTF2N_slattery,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 4,"">C<"" => 2,""-F"" => 6,"">N- (non-ring)"" => 1,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"
C6MIMTF2N_slattery,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 5,"">C<"" => 2,""-F"" => 6,"">N- (non-ring)"" => 1,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"

C2MIMTF2N_beichel,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 1,"">C<"" => 2,""-F"" => 6,"">N- (non-ring)"" => 1,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"
C4MIMTF2N_beichel,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 3,"">C<"" => 2,""-F"" => 6,"">N- (non-ring)"" => 1,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"
C5MIMTF2N_beichel,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 4,"">C<"" => 2,""-F"" => 6,"">N- (non-ring)"" => 1,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"
C6MIMTF2N_beichel,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 5,"">C<"" => 2,""-F"" => 6,"">N- (non-ring)"" => 1,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"
